歌手,歌曲,专辑,发行年份,时长(秒)
采风乐坊,蓄势 ~GEAR UP~,太鼓の達人 オリジナルサウンドトラック「ドンダフル!」,2011,142
Mark Petrie,Go Time,Go Time,2014,136
結束バンド,星座になれたら,星座になれたら,2022,258
塞壬唱片-MSR/陈雪燃,Operation Blade,危机合约 黄铁·利刃·燃灰OST,2021,238
塞壬唱片-MSR/Alan Day/Jason Walsh,Operation Pyrite,危机合约 黄铁·利刃·燃灰OST,2021,262
Martin Garrix/David Guetta/Jamie Scott/Romy Dya,So Far Away,So Far Away,2017,183
SING女团,寄明月,寄明月,2017,231
塞壬唱片-MSR/Gareth Coker,旅程,绿野幻梦OST,,139
milet,Parachute,eyes,2020,254
普信主义/卦者灵风,假酒兑烟灰 (feat. 卦者灵风),假酒兌煙灰,2022,184
LJY,Spring （春）,Spring （春）,2017,210
十明,NEW ERA,NEW ERA,2024,186
KOKIA,EXEC_COSMOFLIPS,咲夜琉命～SAKIYA=RUMEI～Ar tonelico3 Hymmnos Concert side.苍,2010,216
塞壬唱片-MSR/Adam Gubman/Jenna Lea Rosen,梦源之地,音律联觉-灯下定影原声EP,,219
伍佰,挪威的森林,滚石香港黄金十年 伍佰精选,2002,392
塞壬唱片-MSR/Alec Justice/Echos,Touch of the Law,众生行记OST,2025,197
Mili,Sacramentum:Unaccompanied Hymn for Torino,Mag Mell,2014,209
塞壬唱片-MSR/Steven Grove,A Toda Vela,出苍白海OST,2024,164
r-906/初音ミク,まにまに,まにまに,2022,268
塞壬唱片-MSR/PMP/Sandro Friedrich,湮佚诗歌,照我以火OST,,138
Carpetman,Endless Fight,Endless Fight,2023,181
塞壬唱片-MSR/Edine,I Will Touch the Sky,I Will Touch the Sky,2024,317
milet,Without Your Love,eyes,2020,193
塞壬唱片-MSR/Crywolf,Somniomancer [null set],众生行记OST,2025,217
milet,Fire Arrow,eyes,2020,215
塞壬唱片-MSR/DJ Okawari/二宮愛,Speed of Light,Speed of Light,2019,245
Waterflame,Glorious Morning,Community Favorites,2016,112
Toby Fox,MEGALOVANIA,UNDERTALE Soundtrack,2015,156
塞壬唱片-MSR/陈雪燃/Matthew Carl Earl,Bluish Light,Bluish Light,2022,240
結束バンド,ギターと孤独と蒼い惑星,ギターと孤独と蒼い惑星,2022,228
nameless,ツギハギスタッカート,212,2015,248
塞壬唱片-MSR/THE EITHER/杭州爱乐乐团/宗立Zongli,浮生听风,音律联觉-灯下定影原声EP,,269
milet,Always You,Always You,2022,244
Doul,BE ME,BE ME,2022,211
塞壬唱片-MSR/Adam Gubman/Nini Guerry,Morning Dew,Morning Dew,,200
塞壬唱片-MSR/KH,巧筑八方,岁的界园志异OST,2026,155
MY FIRST STORY,REVIVER,ALL LEAD TRACKS,2017,292
坂本龍一,Merry Christmas Mr. Lawrence,Revolution ～私たちの望むものは～,2009,288
Xomu/Amidst,Pagoda,Pagoda,2018,310
Yooh,Eutopia,Eutopia,2014,292
铁痕电台-MSR/8:48,万象将醒,宜,2026,271
雪螢SiqYin/洛天依/乐正绫/血鉀,【洛天依乐正绫吴语】长夜雨,雪螢吴语,,219
塞壬唱片-MSR/Adam Gubman/Sarah Kang,Magic Theorem,Magic Theorem,2022,242
瀬名航/鎖那,ひとり旅 (feat. 鎖那),せなとうた,2018,295
トゲナシトゲアリ,空白とカタルシス,2024 “凛音の理” 上海演唱会特别版,2024,190
Ave Mujica,"Georgette Me, Georgette You","Georgette Me, Georgette You",2025,234
milet,Drown,Drown / You & I,2019,213
塞壬唱片-MSR/Adam Gubman/Moonlist,Undertopia,Undertopia,2022,235
塞壬唱片-MSR/MeLo_绿萝组,相见欢,相见欢OST,2025,169
milet,Tell me,Prover / Tell me,2020,223
塞壬唱片-MSR/Adam Gubman,Merciful Broken Sun,慈悲灯塔OST,2024,132
塞壬唱片-MSR/Life Awaits,Operation Pine Soot,危机合约松烟行动OST,,263
Fatal Force/Crusher P/GUMI,Wildfire,Wildfire,2021,367
Hiroyuki Sawano,Unicorn,MOBILE SUIT GUNDAM UNICORN Original Motion Picture Soundtrack 1,2010,286
Imagine Dragons,Warriors,Warriors (Official Anthem of League of Legends 2014 World Championship),2014,171
塞壬唱片-MSR/椎名豪,Tower Fierce,明日方舟OST3,,249
塞壬唱片-MSR/Adam Gubman,Broken Sun,慈悲灯塔OST,2024,104
削除,天火明命,∀rkadia,2018,253
塞壬唱片-MSR/Adam Gubman,起墨,画中人OST,,127
UnicornPhantom,独角,独角,,181
Strictlyviolin荀博/王朝,玫瑰少年,玫瑰少年,2022,120
塞壬唱片-MSR/ADÀI宋黛霆/Obadiah Brown-Beach/David Lin,A Sweet Rendez-vous,A Sweet Rendez-vous,2022,272
Feryquitous,Arcahv,Arcahv,2020,166
塞壬唱片-MSR/Return to Sender,枯枰竞,相见欢OST,2025,226
塞壬唱片-MSR/BaoUner,天下一白,相见欢OST,2025,135
Mili,To Your Oblivion,To Your Oblivion,2025,256
SawanoHiroyuki[nZk]/ASCA,Unti-L,R∃/MEMBER,2019,243
Hoskey/RayRay,"Sdorica ""the Story Unfolds""","Sdorica Sunset (Original Soundtrack, Vol. 1)",2018,121
Feint/Veela,Vagrant,Vagrant,2015,268
TRIX,Welcome Home,Power,2012,291
洛天依/雪螢SiqYin,一梦惊鸿（洛天依AI/吴语-中派苏州话-）,雪螢吴语,,272
塞壬唱片-MSR/Melissa R. Kaplan,Immutable,Immutable,,249
塞壬唱片-MSR/Elizabeth Hull/Martin Gonzalez,Battleplan Extinguished Sins,危机合约净罪作战OST,2025,236
十明,灰かぶり,僕だけの愛,2024,221
塞壬唱片-MSR/Denney/Steven Grove/David Lin,Stardust on Me,Stardust on Me,2025,228
鸣潮先约电台/Casey Lee Williams,RUNNING FOR YOUR LIFE,RUNNING FOR YOUR LIFE,2025,230
beabadoobee,Coffee,Coffee,2018,126
塞壬唱片-MSR/Adam Gubman/Bonzie/Christine Hals,Mortal Eye,Mortal Eye,,218
結束バンド,忘れてやらない,忘れてやらない,2022,223
すりぃ/25時、ナイトコードで。/鏡音リン,限りなく灰色へ (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&鏡音リン),限りなく灰色へ/アイディスマイル,2022,274
Morfonica,"寄る辺のSunny, Sunny","寄る辺のSunny, Sunny",2022,215
金渔,伪善者,自游,2022,220
Yves Montand,Bella Ciao,Gold Music,2006,115
OneRepublic,Give Me Something (for Arknights Endfield),Give Me Something (for Arknights Endfield),2025,162
塞壬唱片-MSR/横山克,春弦,春弦,,197
塞壬唱片-MSR/Sterling Maffe,敬属春山,将进酒OST,,187
CRYCHIC,春日影,春日影,,257
P*Light/初音ミク,バイオレンストリガー,「#コンパス 戦闘摂理解析システム」オリジナルサウンドトラック Vol.2,,203
塞壬唱片-MSR/Gareth Coker,梦境苏醒,绿野幻梦OST,,194
英雄联盟/Nicki Taylor,Worlds Collide,Worlds Collide,2015,216
Ruelle,Empires,Emerge,2018,222
YOASOBI,もしも命が描けたら,もしも命が描けたら,2022,201
DECO*27/初音ミク,妄想感傷代償連盟,GHOST,2016,270
Edouard Brenneisen/英雄联盟,"Jhin, the Virtuoso","Jhin, the Virtuoso",2016,259
Donel/bees & honey,Shine,Shine,2025,165
Eminem/Joyner Lucas,Lucky You,Kamikaze,2018,244
トゲナシトゲアリ,荊の薔薇,全部をさらして生きてやる,2025,216
milet,We All Lie,We All Lie,2024,197
Lindsey Stirling,Underground,Underground,2019,264
Kings Elliot,Lost Again (From “The Callisto Protocol” Soundtrack),Lost Again (Theme From The Callisto Protocol),2022,272
雪螢SiqYin/洛天依,【洛天依吴语】请不要带我走。-吴语,请覅得带走我。（请不要带我走。-吴语翻唱-）,,128
WizTheMC/bees & honey,Take My Mind,Take My Mind,2025,171
Fleurie,Soldier,Soldier,2016,225
ilem,告死鸟,告死鸟,2026,241
Christopher Larkin,Strive,Hollow Knight: Silksong (Original Soundtrack),2025,106
郭静,爱情讯息,下一个天亮,2008,280
塞壬唱片-MSR/WS MUSIC,Little Wish,Little Wish,2025,240
塞壬唱片-MSR/Alaina Cross,BATTLEPLAN ARCLIGHT,危机合约弧光作战OST,2025,224
英雄联盟/MitiS,The Boy Who Shattered Time,Warsongs,2016,294
ピノキオピー/鏡音リン/初音ミク,ねぇねぇねぇ。,ラヴ,2021,210
塞壬唱片-MSR/Robert Wolf/David Lin/Colm R. McGuinness,Vows of the Sea,Vows of the Sea,2024,217
Laura Shigihara,Choose Your Seeds,Plants Vs. Zombies (Original Video Game Soundtrack),2010,18
佐藤奈央/Colin & Caroline,Through the Darkness,Resident Evil Requiem Original Soundtrack,2026,270
Madnap/Pauline Herr,Slow Down,Slow Down,2019,203
Guiano/理芽,舞 feat. 理芽,舞 feat. 理芽,2022,192
塞壬唱片-MSR/BaoUner,日暖月寒,辞岁行OST,2026,127
塞壬唱片-MSR/Erik Couttolenc/VISION SOUND/Vapestor,千秋岁,辞岁行OST,2026,184
D.D.D./塞壬唱片-MSR,Ready ?,火蓝之心原声带,2019,140
塞壬唱片-MSR/Steven Grove,Ad astra,孤星OST,,163
塞壬唱片-MSR/Robert Wolf,走过漫漫时空,遗尘漫步OST,,130
結束バンド,なにが悪い,なにが悪い,2022,227
Tielle,GHOST,CONTRAST,2021,233
徐梦圆,China-E,China-E,2018,204
結束バンド,あのバンド,あのバンド,2022,213
田中ユウスケ/agehasprings,おしんこ,TVアニメ「ガールズバンドクライ」 (オリジナルサウンドトラック),2024,91
塞壬唱片-MSR,Stay Gold,Stay Gold,,244
奇然/沈谧仁,逍遥游,高考必背曲目,2017,313
Imagine Dragons/JID/英雄联盟/双城之战,Enemy (from the series Arcane League of Legends),Enemy (from the series Arcane League of Legends),2021,173
Janji,Horizon,Horizon,2014,197
Xomu,Lanterns,Lanterns,2018,231
Edouard Brenneisen/英雄联盟,"Pantheon,the Unbreakable Spear","Pantheon,the Unbreakable Spear",,218
塞壬唱片-MSR,Rewinding Breeze,Rewinding Breeze,,174
安田レイ,Not Enough,アシンメトリー,2019,296
Emperor/塞壬唱片-MSR,Not Your Business Part.2,火蓝之心原声带,2019,115
鹿栀一,画中人 （牵丝戏填翻）明日方舟,画中人（明日方舟）牵丝戏填翻,,239
Reigan,I Believe In Us (Arknights Soundtrack),I Believe In Us (Arknights Soundtrack),2021,209
澤野弘之/R!N/Gemie,Call of Silence,TVアニメ「進撃の巨人」Season 2 オリジナルサウンドトラック,2017,178
